pc0,pc1,pc2
-1.16245091,0.183101431,-1.06953084
1.32940996,1.07237744,0.650670707
-0.409174889,1.6438458,-1.22597468
1.28019536,-1.11121893,-0.211897671
2.48090744,-2.52148843,0.721638143
-1.07083118,-2.85847855,2.14278412
-3.01432347,-0.859499633,0.780978739
-12.8122034,0.0202108305,2.90755725
2.30575132,1.29082334,-2.7874794
3.1507268,1.5389818,-2.24837589
0.724950969,-2.09757495,-0.0750506595
1.49454021,0.239173442,0.550262451
1.37787259,-3.23216963,0.416027039
4.89140749,1.19657743,-1.52959979
-1.60280812,-0.35507828,0.449126571
-0.92293483,1.38488793,0.521220624
-1.39324534,1.31940174,-0.168389469
1.91025269,0.299609959,-0.400565833
-1.49627852,1.2128371,2.32185364
-5.04331112,-2.70723629,0.531737149
-0.336664438,-0.603238165,1.69136572
2.34218287,-0.144441381,-0.769337833
0.484205604,-2.31938004,0.391947001
-0.158321172,-0.333410293,0.636378944
-1.91689789,-2.42172003,0.725860178
3.08374238,0.561233759,1.1690768
0.978006124,2.35455537,-0.085680984
4.19598484,-1.24362099,-0.26488927
0.439315319,1.45518184,-1.83529651
-1.91620445,-0.356695354,1.07287741
-0.0654192269,-0.610512853,0.0277137309
-3.5449152,-1.25266492,1.65545988
-1.32166123,-0.680793226,0.16227676
-2.39599109,-0.0945351422,0.97763592
2.10694647,-1.14384627,-1.32032394
-3.52336717,-0.0437238701,-0.899350762
-0.787874281,-1.7517724,-0.125457719
3.96397328,1.91690564,-1.26657295
0.985066175,0.0897790417,1.12855625
1.84913456,1.18631685,-0.966435552
1.85477853,4.24784422,-1.68079162
-1.74406183,1.15000749,-0.548162878
-0.730158567,-2.91501284,2.18527937
0.0880380049,-0.245592758,-1.55717838
-1.23178482,-0.998034239,0.456832349
0.296681672,-1.61430466,-1.0276072
-0.819565594,-0.713400066,2.12817216
0.693702579,-0.912397981,-1.24759352
1.35930729,-0.585454166,-0.0662685484
1.15222657,-0.234102607,-2.29835773
-3.14503479,1.20362127,1.45513904
0.447209984,-0.268771052,-1.85833025
-3.08390164,0.55936259,0.0851001516
0.649435639,-1.19167626,0.111895882
-2.78015184,0.460699409,0.140516043
-0.0420288183,-1.15207851,1.04909515
0.420020789,0.0571162179,-0.858582377
1.38888478,1.4452877,0.1748548
0.131096601,-0.153624386,-0.4185417
-1.44379091,-0.73531419,-0.426522136
-0.76142776,1.25747144,-1.88879478
2.58928728,-0.863889694,0.488868862
-0.538500905,-0.974716663,-1.59696698
0.0314059779,0.241981536,-0.441787332
2.16476941,1.22685409,-0.794800758
0.637024522,-0.357648402,0.486640453
1.88912582,0.786770761,3.0877521
0.56196624,1.64541745,-1.01705039
-0.383864343,0.779322743,-0.158034533
0.50317204,2.1659472,-0.842109323
-1.23100781,0.22694698,-0.717457235
-1.02936411,-0.375003606,0.853599072
-0.711745024,-1.57329118,0.101975046
0.328829736,2.54453778,-0.607540011
-1.27749932,-1.1552186,0.280761391
-0.870180011,-1.72799623,-0.104068413
-0.382038772,0.921389222,-0.470717371
-1.31481528,-0.167007595,0.698142171
0.567856133,-0.928268909,1.664168
-3.50172544,-2.21354222,0.446576774
0.63466537,0.872148275,-0.104159832
2.55459499,-2.83252573,-0.513389409
0.658186555,-1.13519454,0.764354467
1.17013597,0.385655165,-0.868164301
1.02889681,0.946210563,-0.116196662
2.39321375,0.993728101,0.903420269
1.1935097,2.08452153,0.187283367
-1.98512328,2.68000054,2.6070478
-0.98325634,-2.20320511,0.183895037
2.13047481,-0.23923327,-0.221967265
2.01451278,0.39577058,-0.298842371
-1.44518697,-1.02530515,0.340376616
-1.10540235,-0.275070429,0.968766391
0.949193835,1.54411709,0.751227021
-0.803425312,0.451392114,-0.739301264
0.505800247,-1.05620432,-0.0699570477
-0.476990283,1.30238235,0.027181359
0.316160411,-0.96307534,0.562336564
-0.251829147,0.922726989,-0.710958719
0.475032061,-0.179793924,-0.662705779
0.494763732,-0.628596544,0.598505974
-1.39813912,0.950679541,0.118565135
-0.369267046,-0.712887883,-0.183825806
0.944579363,0.0900914669,0.107347839
0.363589793,-0.110242456,0.0847135484
-0.135842651,-0.178144485,1.39092267
0.600815535,-0.32985875,2.00703764
-1.46930134,-0.575408161,-1.48518145
-0.0190574918,-2.14410377,-0.711908281
1.27465081,-1.91648924,1.05780041
-0.459986418,-0.699140847,-0.160835505
-0.13676405,0.666724384,-1.24218571
-1.62969613,1.17580259,0.193484008
-2.31765747,-1.1862762,0.977400243
-2.20292592,-1.14757133,0.544247031
-1.27172363,1.55450642,-1.87683439
-2.48900771,1.12029505,0.0120471558
1.3917321,-1.58977902,-1.63930011
0.612523139,-3.78557658,-0.604865491
0.303132027,-0.276061505,-0.160304487
-0.942940056,-1.55768049,1.60389447
-0.559540689,0.0101147909,1.17431867
4.61010313,-0.871042907,-1.69845915
-0.626903236,-2.44614625,1.37911415
