h0,h1,h2
0.037988361,0.0892908201,-0.0307356007
-0.0351787135,-0.0493499972,-0.00684983376
0.0987851098,-0.125752613,-0.0522187911
0.177781656,0.120890379,-0.0429526679
0.140219212,0.126097366,-0.0159536712
-0.0231920071,-0.154659703,0.0410599075
0.112130597,-0.125519678,-0.0115850614
-0.106050402,0.182965696,0.00810832996
-0.0096767405,0.361798972,0.0067269979
0.0102228653,0.0710245967,-0.0549669936
0.162097082,0.172461405,-0.104253992
0.116036698,-0.00553577719,-0.114605494
-0.214850113,0.150500447,-0.0908161849
0.122955561,0.270357847,-0.0683187395
0.0796911493,0.125427365,-0.0648279265
0.0473098345,-0.0453834161,-0.169694245
-0.0924747363,-0.14295499,-0.0153017966
-0.0227602851,0.249423549,-0.00110439165
0.231808573,0.120151833,0.0151481815
