XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
-0.211635754,-1.15569127,3.05856371,1.0203923,0.766607404,-0.160630912,0.903401792,-0.0213335846,-0.285805821
0.732960224,1.00176132,0.764027655,0.262504488,0.564446509,0.0703089163,0.701221645,-0.129616216,0.620996654
0.277655542,0.873636365,-0.223771989,0.0926093459,-0.513570547,0.208402395,-0.301086843,-0.565642834,0.884457648
0.127297118,0.866057754,-0.437023997,0.15980424,0.270529598,-0.206416577,0.127636179,0.954959929,0.209577322
-0.396193743,0.450748622,-0.297487199,-0.822672486,-0.219762251,-0.5313434,-0.301695228,1.01901245,-0.325609654
-0.322822899,-1.78368139,1.39528573,-0.489060938,-0.515741646,-0.161574289,-0.206932709,-0.419373989,-0.776690304
1.17310691,1.74899149,0.677920222,1.28537369,1.20129359,0.163845435,1.40823174,0.824707866,1.19573581
-1.06678438,-0.661518812,-0.773387313,-1.23408198,-0.413876504,0.163386345,-0.156374395,-1.50968075,-2.08403063
-0.77797699,-0.0761047825,0.334001034,0.128685057,-0.268437564,-0.579874754,0.172580659,-0.0213335846,0.259717107
-2.18309093,-2.99855065,-0.989965737,-1.96471107,-2.50880241,-1.81625354,-1.72613227,-1.82328844,-2.64478111
-0.572947621,-0.0778506398,-0.29530403,-0.151131526,0.378606796,-0.213461146,0.0327390283,1.15867949,1.10489845
2.07909703,0.76649338,0.128406018,1.25955391,1.46895301,0.787922561,0.224690452,1.40244091,-0.29148531
-0.483606249,-0.378381491,0.688454747,-0.498631388,-0.717166066,0.167243004,-0.544628024,-0.34080568,-1.08833742
1.65540028,1.30036461,1.4994694,1.24229074,1.06358778,1.19704533,1.08654583,2.23215556,-0.437855691
0.0532018207,-0.913966954,-1.03963709,-0.665601552,-0.318928719,-0.0686095804,-0.158081859,-0.124325223,-1.34820724
-1.08378088,-2.32404804,-0.848274291,-0.673379898,-0.517932117,-0.864509344,-0.974570215,-0.799352407,-0.205820426
-0.0985550061,0.16663757,-0.0831352472,0.13178733,-0.0237105265,0.773786962,0.753084004,0.936806977,1.70292938
0.889885545,0.532655001,1.30552518,1.10327244,1.93688536,1.59039211,0.791608274,2.0500598,0.64454478
0.354410768,-1.18189156,-0.56426537,-0.423232377,0.0731922537,-0.433426231,-1.20547438,0.498044789,-0.435665339
0.576131642,-0.140691802,-0.569827318,1.49612343,1.65519369,0.115280464,0.701221645,-0.169277638,1.06164587
1.52433062,2.36188698,0.543925226,0.994641006,0.874575734,0.388508677,0.92835027,0.568306267,2.14066458
